filename;size;defect;xmin;xmax;ymin;ymax
l_light_11_spur_08_5_600;(600, 600, 3);spur;541;594;519;552
l_light_11_spur_08_5_600;(600, 600, 3);spur;319;362;174;204
light_05_spurious_copper_10_2_256;(600, 600, 3);spurious_copper;129;194;305;327
light_05_spurious_copper_10_2_256;(600, 600, 3);spurious_copper;132;187;501;556
light_05_spur_02_3_256;(600, 600, 3);spur;147;182;401;427
light_06_mouse_bite_04_1_256;(600, 600, 3);mouse_bite;529;561;263;278
light_06_mouse_bite_04_1_256;(600, 600, 3);mouse_bite;406;420;557;587
light_06_mouse_bite_04_1_256;(600, 600, 3);mouse_bite;399;424;462;475
light_04_spur_04_4_256;(600, 600, 3);spur;137;165;136;176
rotation_270_light_07_spurious_copper_02_1_600;(601, 601, 3);spurious_copper;87;119;533;599
rotation_270_light_12_spurious_copper_03_1_600;(601, 601, 3);spurious_copper;167;188;359;398
rotation_270_light_12_spurious_copper_03_1_600;(601, 601, 3);spurious_copper;298;320;242;279
rotation_90_light_10_mouse_bite_01_3_600;(600, 600, 3);mouse_bite;467;506;302;351
rotation_90_light_10_mouse_bite_01_3_600;(600, 600, 3);mouse_bite;514;552;568;599
rotation_90_light_05_short_08_2_600;(600, 600, 3);short;352;381;52;84
rotation_90_light_05_short_08_2_600;(600, 600, 3);short;389;425;457;499
rotation_90_light_08_spur_07_4_600;(600, 600, 3);spur;21;57;483;508
rotation_90_light_08_spur_07_4_600;(600, 600, 3);spur;194;220;406;457
l_light_09_spur_06_4_600;(600, 600, 3);spur;77;105;116;134
l_light_09_spur_06_4_600;(600, 600, 3);spur;164;185;146;186
rotation_270_light_04_spurious_copper_10_2_600;(601, 601, 3);spurious_copper;157;186;91;107
rotation_270_light_04_spurious_copper_10_2_600;(601, 601, 3);spurious_copper;269;309;21;35
l_light_05_mouse_bite_10_5_600;(600, 600, 3);mouse_bite;311;336;95;138
l_light_05_mouse_bite_10_5_600;(600, 600, 3);mouse_bite;564;588;252;293
l_light_05_mouse_bite_10_5_600;(600, 600, 3);mouse_bite;419;435;390;419
rotation_270_light_05_spurious_copper_07_2_600;(601, 601, 3);spurious_copper;339;378;61;93
rotation_270_light_04_spurious_copper_14_3_600;(601, 601, 3);spurious_copper;410;462;566;591
rotation_270_light_04_spurious_copper_14_3_600;(601, 601, 3);spurious_copper;180;246;470;488
rotation_270_light_04_spurious_copper_14_3_600;(601, 601, 3);spurious_copper;45;79;456;477
rotation_90_light_11_open_circuit_01_2_600;(600, 600, 3);open_circuit;2;26;25;53
rotation_90_light_11_open_circuit_01_2_600;(600, 600, 3);open_circuit;273;295;77;94
l_light_09_mouse_bite_07_2_600;(600, 600, 3);mouse_bite;440;470;20;43
rotation_90_light_07_missing_hole_04_5_600;(600, 600, 3);missing_hole;338;384;208;254
rotation_90_light_07_missing_hole_04_5_600;(600, 600, 3);missing_hole;333;382;536;576
light_07_spur_02_1_256;(600, 600, 3);spur;413;433;492;535
l_light_05_spur_01_4_600;(600, 600, 3);spur;325;359;281;298
l_light_05_spur_01_4_600;(600, 600, 3);spur;172;204;72;97
light_04_mouse_bite_16_2_256;(600, 600, 3);mouse_bite;80;114;112;132
l_light_06_open_circuit_08_1_600;(600, 600, 3);open_circuit;514;548;175;190
l_light_06_open_circuit_08_1_600;(600, 600, 3);open_circuit;296;308;452;483
l_light_06_open_circuit_08_1_600;(600, 600, 3);open_circuit;70;87;448;482
l_light_12_spur_07_1_600;(600, 600, 3);spur;557;573;297;324
rotation_270_light_04_spur_12_3_600;(601, 601, 3);spur;19;61;156;175
rotation_270_light_04_spur_12_2_600;(601, 601, 3);spur;485;504;268;308
rotation_270_light_04_spur_12_2_600;(601, 601, 3);spur;529;545;350;377
light_11_mouse_bite_07_1_256;(600, 600, 3);mouse_bite;451;485;237;264
